tconst,Year,IMDb rating,Movie title,rotten_tomatoes_link,Director name,movie_title,tomatometer_status,Rotten Tomatoes rating
tt0021156,1930,7.0,Morocco,,Josef von Sternberg,,,
tt0021165,1930,6.3,Murder!,m/1014396-murder,Alfred Hitchcock,Murder!,Fresh,88.0
tt0021331,1932,7.3,The Blood of a Poet,,Jean Cocteau,,,
tt0021577,1930,7.2,L'Age d'Or,,Luis Buñuel,,,
tt0021746,1931,5.8,Cimarron,m/1004177-cimarron,Wesley Ruggles,Cimarron,Rotten,50.0
tt0021814,1931,7.4,Dracula,m/1006234-dracula,Tod Browning,Dracula,Certified-Fresh,92.0
tt0021814,1931,7.4,Dracula,m/1006234-dracula,Karl Freund,Dracula,Certified-Fresh,92.0
tt0021884,1931,7.8,Frankenstein,,James Whale,,,
tt0022100,1931,8.3,M,m/1012928-m,Fritz Lang,M,Certified-Fresh,100.0
tt0022158,1931,7.4,Monkey Business,m/1014137-monkey_business,Norman Z. McLeod,Monkey Business,Fresh,94.0
tt0022286,1931,7.6,The Public Enemy,,William A. Wellman,,,
tt0022835,1931,7.6,Dr. Jekyll and Mr. Hyde,m/1006207-dr_jekyll_and_mr_hyde,Rouben Mamoulian,Dr. Jekyll and Mr. Hyde,Certified-Fresh,90.0
tt0022879,1932,6.4,A Farewell to Arms,m/farewell_to_arms,Frank Borzage,A Farewell to Arms,Fresh,93.0
tt0022913,1932,7.8,Freaks,m/freaks,Tod Browning,Freaks,Certified-Fresh,95.0
tt0022958,1932,7.3,Grand Hotel,m/grand_hotel,Edmund Goulding,Grand Hotel,Certified-Fresh,86.0
tt0023027,1932,7.5,Horse Feathers,,Norman Z. McLeod,,,
tt0023238,1932,7.1,The Most Dangerous Game,m/most_dangerous_game,Irving Pichel,The Most Dangerous Game,Fresh,100.0
tt0023238,1932,7.1,The Most Dangerous Game,m/most_dangerous_game,Ernest B. Schoedsack,The Most Dangerous Game,Fresh,100.0
tt0023245,1932,7.0,The Mummy,m/1014370-mummy,Karl Freund,The Mummy,Certified-Fresh,88.0
tt0023293,1932,7.0,The Old Dark House,m/1061171-old_dark_house,James Whale,The Old Dark House,Fresh,96.0
tt0023427,1932,7.7,Scarface,m/1018323-scarface,Howard Hawks,Scarface,Certified-Fresh,98.0
tt0023427,1932,7.7,Scarface,m/1018323-scarface,Richard Rosson,Scarface,Certified-Fresh,98.0
