imdb_id,id
tt2980554,339145
tt4296026,323660
tt3534602,308638
tt4938602,359983
tt1837562,300155
tt3479316,328595
tt2133196,327528
tt3528666,329540
tt4163020,306964
tt3520290,360387
tt3849692,362185
tt1883367,94365
tt3395184,241855
tt3496372,322518
tt3520418,291272
tt4137924,324963
tt4685096,342927
tt4511566,361159
tt4227282,365805
tt3793788,351964
tt1663655,362057
tt2321502,137333
tt3856042,317198
tt1519461,57876
tt4547120,339533
tt3687398,277546
tt3090670,308457
tt3155242,306482
tt4386242,362105
tt2325977,245846
tt3774466,330112
tt3881768,322766
tt5065822,361931
tt4257858,318224
tt3346224,309503
tt3779300,348811
tt3672742,310135
tt4955162,355111
tt3118452,335866
tt3660770,295592
tt4126340,335970
tt5223342,366142
tt3236120,310121
tt4505830,361263
tt4425064,324308
tt4234734,326923
tt4126438,356842
tt4180514,339530
tt3268668,331190
tt3399896,301729
tt4073890,395883
tt3919218,356300
tt1817771,218784
tt1230213,310137
tt4729754,342917
tt1321869,79698
tt3671542,337960
tt3397918,296130
tt4437640,327418
tt3343784,246133
tt3529656,328869
tt0420293,308032
tt1254322,329829
tt3704352,330544
tt3280916,299551
tt1891923,207270
tt3640682,307946
tt3401748,356905
tt2545428,318279
tt4661600,345637
tt3062976,284286
tt3703148,340816
tt1015471,206197
tt3899796,331446
tt3957956,351901
tt4973112,357681
tt3038734,333657
tt4262142,336845
tt4337690,343795
tt4060576,294562
tt4145304,306197
tt3878542,297556
tt4116030,354743
tt1943014,157422
tt4180576,316885
tt2944198,228973
tt2016335,323967
tt3836512,320048
tt4271918,359305
tt2580382,329004
tt3557406,362180
tt3602128,343284
tt2998406,243752
tt3745906,291866
tt3118874,330127
tt2885628,323694
tt3698558,334028
tt3952108,354924
tt3619102,368256
tt3591436,324291
tt3399484,347847
tt3704416,295490
tt3397754,253406
tt4030442,291865
tt3719896,334531
tt4441422,324803
tt2547172,339355
tt4270516,309304
tt2948712,339342
tt2638662,306966
tt1945044,226458
tt3700804,339148
tt3899516,340684
tt2492296,340968
tt3212904,347754
tt3488328,326284
tt4135218,317144
tt2124787,277558
tt3065132,338928
tt3687304,291189
tt4056738,309425
tt3895884,287689
tt4835298,363869
tt3764966,325189
tt3977462,298582
tt1957938,301228
tt3137764,343934
tt2190467,296025
tt3482062,371442
tt3511596,325173
tt1867091,282313
tt3993894,300542
tt3717016,309924
tt4767950,348634
tt4284010,318044
tt2977090,259958
tt4163668,316715
tt4104022,308027
tt2753778,279144
tt4908644,355020
tt3727982,323665
tt4630444,358895
tt3561236,347548
tt3800796,353345
tt3603808,323370
tt3680410,337958
tt4009278,333674
tt3327624,301728
tt4587740,366018
tt2207484,256030
tt4141368,356149
tt2950052,300666
tt4264426,347642
tt5297750,373558
tt5184298,367326
tt3101132,329205
tt3881680,386501
tt3312868,321769
tt3214286,251471
tt2401223,174340
tt3534282,309298
tt3067274,285840
tt3121332,308077
tt4393514,321109
tt3379814,341886
tt3844362,308024
tt2945796,356216
tt4184878,311615
tt4426954,333873
tt4819560,362154
tt2645188,293941
tt3593046,360203
tt3824412,294132
tt4000870,301629
tt3153582,331592
tt3833520,342464
tt3503840,332976
tt4733536,367551
tt4151192,353610
tt4145324,316410
tt1612319,106845
tt3055402,339362
tt3120960,323966
tt4920274,354857
tt4058368,333653
tt3541080,323366
tt1850418,75861
tt3344922,283698
tt4483220,363889
tt3454574,329020
tt3832914,323272
tt4573800,343921
tt5227516,361671
tt4246854,346494
tt3707114,321974
tt4835394,363757
tt3384870,328820
tt3919598,359255
tt4909348,355178
tt3407428,310491
tt3750942,319096
tt3687186,285024
tt4900018,360341
tt2186848,329556
tt3305844,241927
tt4392454,347751
tt3946300,287692
tt3304756,321668
tt2905674,315024
tt3799372,323674
tt3910602,345944
tt1754736,300686
tt3272570,324253
tt3108244,395560
tt3317522,312827
tt3824458,308084
