tconst,Year,IMDb rating,Movie title,Staff name,dir_mov,dir_mov_set
tt0109444,1994,6.9,Clear and Present Danger,Phillip Noyce,Clear and Present Danger Phillip Noyce,"frozenset({'and', 'Phillip', 'Danger', 'Present', 'Clear', 'Noyce'})"
tt0109445,1994,7.7,Clerks,Kevin Smith,Clerks Kevin Smith,"frozenset({'Clerks', 'Smith', 'Kevin'})"
tt0109446,1994,6.7,The Client,Joel Schumacher,The Client Joel Schumacher,"frozenset({'Joel', 'Client', 'The', 'Schumacher'})"
tt0109447,1994,5.4,Clifford,Paul Flaherty,Clifford Paul Flaherty,"frozenset({'Flaherty', 'Paul', 'Clifford'})"
tt0109450,1994,6.4,Cobb,Ron Shelton,Cobb Ron Shelton,"frozenset({'Shelton', 'Cobb', 'Ron'})"
tt0109456,1994,5.2,Color of Night,Richard Rush,Color of Night Richard Rush,"frozenset({'Night', 'Color', 'of', 'Richard', 'Rush'})"
tt0109480,1994,5.2,Cops and Robbersons,Michael Ritchie,Cops and Robbersons Michael Ritchie,"frozenset({'Ritchie', 'and', 'Michael', 'Cops', 'Robbersons'})"
tt0109484,1994,6.6,"Corrina, Corrina",Jessie Nelson,"Corrina, Corrina Jessie Nelson","frozenset({'Jessie', 'Corrina,', 'Corrina', 'Nelson'})"
tt0109493,1994,5.9,The Cowboy Way,Gregg Champion,The Cowboy Way Gregg Champion,"frozenset({'Way', 'Cowboy', 'The', 'Gregg', 'Champion'})"
tt0109504,1994,7.0,Crooklyn,Spike Lee,Crooklyn Spike Lee,"frozenset({'Crooklyn', 'Spike', 'Lee'})"
tt0109506,1994,7.5,The Crow,Alex Proyas,The Crow Alex Proyas,"frozenset({'Crow', 'Alex', 'The', 'Proyas'})"
tt0109508,1994,8.0,Crumb,Terry Zwigoff,Crumb Terry Zwigoff,"frozenset({'Terry', 'Crumb', 'Zwigoff'})"
tt0109520,1994,6.1,D2: The Mighty Ducks,Sam Weisman,D2: The Mighty Ducks Sam Weisman,"frozenset({'Ducks', 'Sam', 'Weisman', 'D2:', 'Mighty', 'The'})"
tt0109555,1993,7.6,Darr,Yash Chopra,Darr Yash Chopra,"frozenset({'Yash', 'Chopra', 'Darr'})"
tt0109578,1994,4.8,Death Wish: The Face of Death,Allan A. Goldstein,Death Wish: The Face of Death Allan A. Goldstein,"frozenset({'Wish:', 'Face', 'of', 'Allan', 'A.', 'The', 'Goldstein', 'Death'})"
tt0109579,1994,7.3,Death and the Maiden,Roman Polanski,Death and the Maiden Roman Polanski,"frozenset({'and', 'Roman', 'Polanski', 'Maiden', 'Death', 'the'})"
tt0109592,1994,7.1,Dellamorte dellamore,Michele Soavi,Dellamorte dellamore Michele Soavi,"frozenset({'Soavi', 'dellamore', 'Dellamorte', 'Michele'})"
tt0109635,1994,6.1,Disclosure,Barry Levinson,Disclosure Barry Levinson,"frozenset({'Barry', 'Disclosure', 'Levinson'})"
tt0109642,1995,7.4,Dolores Claiborne,Taylor Hackford,Dolores Claiborne Taylor Hackford,"frozenset({'Claiborne', 'Dolores', 'Taylor', 'Hackford'})"
tt0109676,1994,5.6,Drop Zone,John Badham,Drop Zone John Badham,"frozenset({'Zone', 'Badham', 'John', 'Drop'})"
tt0109686,1994,7.3,Dumb and Dumber,Peter Farrelly Bobby Farrelly,Dumb and Dumber Peter Farrelly Bobby Farrelly,"frozenset({'Farrelly', 'and', 'Dumb', 'Bobby', 'Peter', 'Dumber'})"
tt0109688,1994,7.0,Ashes of Time,Kar-Wai Wong,Ashes of Time Kar-Wai Wong,"frozenset({'of', 'Wong', 'Time', 'Kar-Wai', 'Ashes'})"
tt0109707,1994,7.8,Ed Wood,Tim Burton,Ed Wood Tim Burton,"frozenset({'Tim', 'Ed', 'Burton', 'Wood'})"
tt0109723,1995,4.3,Embrace of the Vampire,Anne Goursaud,Embrace of the Vampire Anne Goursaud,"frozenset({'Goursaud', 'of', 'Anne', 'Embrace', 'the', 'Vampire'})"
tt0109758,1994,4.2,Exit to Eden,Garry Marshall,Exit to Eden Garry Marshall,"frozenset({'to', 'Marshall', 'Exit', 'Garry', 'Eden'})"
tt0109759,1994,7.0,Exotica,Atom Egoyan,Exotica Atom Egoyan,"frozenset({'Exotica', 'Atom', 'Egoyan'})"
tt0109770,1994,3.8,The Fantastic Four,Oley Sassone,The Fantastic Four Oley Sassone,"frozenset({'Sassone', 'Oley', 'Four', 'Fantastic', 'The'})"
tt0109771,1994,6.8,Farinelli,Gérard Corbiau,Farinelli Gérard Corbiau,"frozenset({'Gérard', 'Corbiau', 'Farinelli'})"
tt0109813,1994,5.0,The Flintstones,Brian Levant,The Flintstones Brian Levant,"frozenset({'The', 'Levant', 'Brian', 'Flintstones'})"
tt0109830,1994,8.8,Forrest Gump,Robert Zemeckis,Forrest Gump Robert Zemeckis,"frozenset({'Robert', 'Zemeckis', 'Forrest', 'Gump'})"
tt0109831,1994,7.1,Four Weddings and a Funeral,Mike Newell,Four Weddings and a Funeral Mike Newell,"frozenset({'Mike', 'and', 'Four', 'Newell', 'Weddings', 'Funeral', 'a'})"
tt0109838,1993,6.3,Freaked,Tom Stern Alex Winter,Freaked Tom Stern Alex Winter,"frozenset({'Stern', 'Freaked', 'Winter', 'Alex', 'Tom'})"
tt0109842,1994,7.5,Fresh,Boaz Yakin,Fresh Boaz Yakin,"frozenset({'Boaz', 'Yakin', 'Fresh'})"
tt0109890,1994,5.8,The Getaway,Roger Donaldson,The Getaway Roger Donaldson,"frozenset({'Roger', 'The', 'Getaway', 'Donaldson'})"
tt0109891,1994,4.8,Getting Even with Dad,Howard Deutch,Getting Even with Dad Howard Deutch,"frozenset({'Deutch', 'Getting', 'Dad', 'with', 'Even', 'Howard'})"
tt0109936,1994,6.3,Greedy,Jonathan Lynn,Greedy Jonathan Lynn,"frozenset({'Jonathan', 'Greedy', 'Lynn'})"
tt0109951,1994,6.2,Guarding Tess,Hugh Wilson,Guarding Tess Hugh Wilson,"frozenset({'Guarding', 'Wilson', 'Tess', 'Hugh'})"
tt0109962,1994,7.1,From Beijing with Love,Lik-Chi Lee,From Beijing with Love Lik-Chi Lee,"frozenset({'Lee', 'Beijing', 'with', 'From', 'Love', 'Lik-Chi'})"
tt0110005,1994,7.3,Heavenly Creatures,Peter Jackson,Heavenly Creatures Peter Jackson,"frozenset({'Jackson', 'Peter', 'Creatures', 'Heavenly'})"
tt0110006,1995,6.6,Heavyweights,Steven Brill,Heavyweights Steven Brill,"frozenset({'Brill', 'Steven', 'Heavyweights'})"
tt0110008,1994,7.3,Pom Poko,Isao Takahata,Pom Poko Isao Takahata,"frozenset({'Takahata', 'Isao', 'Poko', 'Pom'})"
tt0110027,1994,4.4,Highlander: The Final Dimension,Andrew Morahan,Highlander: The Final Dimension Andrew Morahan,"frozenset({'Final', 'Andrew', 'Morahan', 'The', 'Dimension', 'Highlander:'})"
tt0110057,1994,8.3,Hoop Dreams,Steve James,Hoop Dreams Steve James,"frozenset({'James', 'Dreams', 'Steve', 'Hoop'})"
tt0110066,1995,5.9,Houseguest,Randall Miller,Houseguest Randall Miller,"frozenset({'Randall', 'Miller', 'Houseguest'})"
tt0110074,1994,7.2,The Hudsucker Proxy,Joel Coen Ethan Coen,The Hudsucker Proxy Joel Coen Ethan Coen,"frozenset({'Proxy', 'Joel', 'Hudsucker', 'The', 'Coen', 'Ethan'})"
tt0110076,1994,7.5,Hum Aapke Hain Koun..!,Sooraj R. Barjatya,Hum Aapke Hain Koun..! Sooraj R. Barjatya,"frozenset({'Barjatya', 'Hain', 'R.', 'Sooraj', 'Koun..!', 'Aapke', 'Hum'})"
tt0110081,1994,8.3,To Live,Yimou Zhang,To Live Yimou Zhang,"frozenset({'Live', 'Zhang', 'To', 'Yimou'})"
tt0110093,1994,5.3,I Love Trouble,Charles Shyer,I Love Trouble Charles Shyer,"frozenset({'Charles', 'Trouble', 'Love', 'Shyer', 'I'})"
tt0110099,1994,6.2,I.Q.,Fred Schepisi,I.Q. Fred Schepisi,"frozenset({'Fred', 'Schepisi', 'I.Q.'})"
tt0110116,1994,7.4,Immortal Beloved,Bernard Rose,Immortal Beloved Bernard Rose,"frozenset({'Rose', 'Immortal', 'Bernard', 'Beloved'})"
tt0110123,1994,4.9,In the Army Now,Daniel Petrie Jr.,In the Army Now Daniel Petrie Jr.,"frozenset({'Daniel', 'Army', 'Now', 'Petrie', 'In', 'the', 'Jr.'})"
tt0110146,1994,5.3,Intersection,Mark Rydell,Intersection Mark Rydell,"frozenset({'Rydell', 'Intersection', 'Mark'})"
tt0110148,1994,7.5,Interview with the Vampire: The Vampire Chronicles,Neil Jordan,Interview with the Vampire: The Vampire Chronicles Neil Jordan,"frozenset({'Interview', 'Vampire:', 'Jordan', 'The', 'with', 'Neil', 'Chronicles', 'the', 'Vampire'})"
tt0110157,1994,6.6,Iron Will,Charles Haid,Iron Will Charles Haid,"frozenset({'Will', 'Haid', 'Iron', 'Charles'})"
tt0110167,1994,6.4,It Could Happen to You,Andrew Bergman,It Could Happen to You Andrew Bergman,"frozenset({'to', 'Andrew', 'You', 'Happen', 'Bergman', 'It', 'Could'})"
tt0110169,1994,2.7,It's Pat: The Movie,Adam Bernstein,It's Pat: The Movie Adam Bernstein,"frozenset({'Pat:', 'Adam', 'Bernstein', ""It's"", 'The', 'Movie'})"
tt0110200,1994,7.5,Fist of Legend,Gordon Chan,Fist of Legend Gordon Chan,"frozenset({'of', 'Legend', 'Gordon', 'Fist', 'Chan'})"
tt0110213,1994,6.0,The Jungle Book,Stephen Sommers,The Jungle Book Stephen Sommers,"frozenset({'Book', 'Sommers', 'Jungle', 'Stephen', 'The'})"
tt0110216,1994,4.7,Junior,Ivan Reitman,Junior Ivan Reitman,"frozenset({'Junior', 'Ivan', 'Reitman'})"
tt0110222,1994,7.7,Kabhi Haan Kabhi Naa,Kundan Shah,Kabhi Haan Kabhi Naa Kundan Shah,"frozenset({'Shah', 'Haan', 'Kabhi', 'Naa', 'Kundan'})"
tt0110265,1993,6.4,Killing Zoe,Roger Avary,Killing Zoe Roger Avary,"frozenset({'Roger', 'Killing', 'Avary', 'Zoe'})"
