level_0,index,tconst,startYear_x,runtimeMinutes_x,genres_x,averageRating,numVotes,primaryTitle,genres,startYear_st,runtimeMinutes_st,averageRating_st,numVotes_st,genre_clean,action,adult,adventure,animation,biography,comedy,crime,documentary,drama,family,fantasy,fi,history,horror,music,musical,mystery,news,reality,romance,sci,sport,thriller,tv,war,western
2271,47453,tt0090768,1986,114,"Drama,Fantasy,Romance",6.5,6116.0,The Boy Who Could Fly,Drama,0.6635514018691566,0.1324376199616123,0.6321839080459771,4.334561836105309e-05,"Drama , Fantasy , Romance",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2272,47472,tt0090798,1986,93,"Biography,Drama,History",6.5,6218.0,Caravaggio,Biography,0.6635514018691566,0.09213051823416506,0.6321839080459771,8.179129725520472e-05,"Biography , Drama , History",0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2273,47492,tt0090830,1986,119,"Drama,Romance",7.2,17264.0,Children of a Lesser God,Drama,0.6635514018691566,0.1420345489443378,0.7126436781609197,0.004245232170439494,"Drama , Romance",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2274,47497,tt0090837,1986,77,"Comedy,Horror,Sci-Fi",5.6,15119.0,Chopping Mall,Comedy,0.6635514018691566,0.061420345489443376,0.5287356321839081,0.0034367421584007196,"Comedy , Horror , Sci-Fi",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2275,47504,tt0090848,1986,98,"Adventure,Drama,Fantasy",5.4,6608.0,The Clan of the Cave Bear,Adventure,0.6635514018691566,0.1017274472168906,0.5057471264367818,0.00022878948126225452,"Adventure , Drama , Fantasy",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2276,47505,tt0090849,1986,85,"Comedy,Horror,Sci-Fi",5.6,8733.0,Class of Nuke 'Em High,Comedy,0.6635514018691566,0.07677543186180423,0.5287356321839081,0.0010297411248904112,"Comedy , Horror , Sci-Fi",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
2277,47507,tt0090852,1986,96,Comedy,6.6,12967.0,Clockwise,Comedy,0.6635514018691566,0.0978886756238004,0.6436781609195403,0.002625613717418229,Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2278,47508,tt0090856,1986,96,Comedy,5.1,6405.0,Club Paradise,Comedy,0.6635514018691566,0.0978886756238004,0.471264367816092,0.00015227504189448257,Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2279,47510,tt0090859,1986,87,"Action,Crime,Thriller",5.8,73802.0,Cobra,Action,0.6635514018691566,0.08061420345489444,0.5517241379310346,0.025555445830415358,"Action , Crime , Thriller",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2280,47512,tt0090863,1986,119,"Drama,Sport",7.0,85304.0,The Color of Money,Drama,0.6635514018691566,0.1420345489443378,0.6896551724137933,0.029890761503361733,"Drama , Sport",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
