,tconst,startYear,runtimeMinutes,genres,averageRating,numVotes
2683612,tt3920820,2018,99,"Biography,Drama,Sport",7.2,7358.0
1119330,tt0396688,2005,105,"Drama,Thriller",6.6,7356.0
819603,tt0258273,2001,91,"Comedy,Drama,Romance",6.7,7355.0
2717638,tt4183692,2015,123,"Biography,Drama,History",6.4,7355.0
3240118,tt8526370,2020,98,"Drama,Mystery,Thriller",6.4,7355.0
73816,tt0019729,1929,100,"Drama,Musical,Romance",5.6,7354.0
2075618,tt1678051,2012,94,"Action,Thriller",4.3,7354.0
2298355,tt2123146,2014,115,"Adventure,Comedy,Sci-Fi",5.5,7354.0
2490805,tt2714380,2014,88,"Drama,Horror,Mystery",4.3,7354.0
1747702,tt1340773,2010,104,"Comedy,Drama",5.0,7353.0
1172213,tt0430431,2006,123,"Biography,Drama,History",6.0,7352.0
2144663,tt1820488,2012,90,"Drama,War",7.0,7350.0
3100131,tt7142506,2018,99,"Drama,Romance",7.7,7349.0
352040,tt0087635,1984,90,"Comedy,Romance",6.2,7347.0
361527,tt0089981,1985,90,"Comedy,Romance",6.5,7344.0
1531858,tt11423214,2021,102,"Horror,Thriller",5.2,7344.0
967953,tt0322545,2003,105,"Comedy,Drama",7.1,7341.0
2833253,tt5037840,2019,97,Comedy,4.0,7341.0
2660924,tt3774866,2016,98,"Drama,Mystery",6.1,7338.0
2963251,tt5985288,2016,114,"Biography,Comedy,Drama",7.1,7338.0
3179534,tt7873348,2020,93,"Adventure,Comedy,Sci-Fi",5.8,7338.0
161846,tt0041163,1949,118,"Action,Drama,History",7.4,7337.0
234549,tt0058886,1965,138,"Biography,Drama,History",7.1,7337.0
348316,tt0086610,1982,86,"Horror,Sci-Fi",5.6,7337.0
1928917,tt15004156,2021,110,"Documentary,Music",7.1,7337.0
922544,tt0301181,2003,105,"Comedy,Drama,Romance",6.0,7335.0
390841,tt0097500,1989,94,"Comedy,Crime,Mystery",5.8,7332.0
646505,tt0188766,1999,85,"Comedy,Drama,Romance",7.2,7332.0
1552443,tt11604676,2021,124,"Crime,Thriller",8.1,7331.0
1879246,tt1455151,2010,82,"Comedy,Drama",7.2,7331.0
1354076,tt0963965,2009,89,"Crime,Thriller",5.6,7330.0
1532454,tt1142798,2008,111,Drama,5.8,7329.0
309964,tt0077533,1978,105,"Documentary,Horror",4.2,7327.0
1516038,tt11285280,2021,90,"Comedy,Drama",6.4,7327.0
2226002,tt1985017,2012,111,"Drama,Mystery,Sci-Fi",5.3,7326.0
2481281,tt2649128,2013,133,"Action,Drama,Thriller",6.4,7326.0
320371,tt0079946,1978,92,"Action,Adventure,Sci-Fi",3.9,7325.0
229779,tt0057693,1963,79,"Horror,Sci-Fi,Thriller",6.6,7324.0
1884352,tt14592948,2022,104,"Crime,Drama,Thriller",6.5,7324.0
