rotten_tomatoes_link,Movie Title,Rotten Tomatoes rating,Studio,original_release_date,Year
m/fantastic_beasts_and_where_to_find_them,Fantastic Beasts and Where to Find Them,74.0,Warner Bros.,2016-11-18,2016
m/the_bfg_2016,The BFG,74.0,Disney,2016-07-01,2016
m/jimmy_neutron_boy_genius,Jimmy Neutron - Boy Genius,74.0,Paramount,2001,2001
m/the_adventures_of_tintin,The Adventures of Tintin,74.0,Paramount,2011-12-21,2011
m/water_horse,The Water Horse: Legend of the Deep,74.0,Sony,2007-12-25,2007
m/my_dog_skip,My Dog Skip,73.0,Warner Bros.,2000-03-03,2000
m/1142872-sky_high,Sky High,73.0,Buena Vista,2005-07-29,2005
m/monsters_vs_aliens,Monsters vs. Aliens,73.0,Paramount,2009-03-27,2009
m/nanny_mcphee,Nanny McPhee,73.0,Universal,2006-01-27,2006
m/christopher_robin,Christopher Robin,73.0,Disney,2018-08-03,2018
m/where_the_wild_things_are,Where the Wild Things Are,73.0,Warner Bros.,2009-10-16,2009
m/flushed_away,Flushed Away,73.0,Paramount,2006-11-03,2006
m/lemony_snicket,Lemony Snicket's A Series of Unfortunate Events,72.0,Paramount,2004-12-17,2004
m/megamind,Megamind,72.0,Paramount,2010-11-05,2010
m/labyrinth,Labyrinth,72.0,Sony,1986-06-27,1986
m/rio,Rio,72.0,20th Century Fox,2011-04-15,2011
m/hannah-montanamiley-cyrus-best-of-both-worlds-concert-tour,Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,71.0,Disney,2008-02-01,2008
m/1073037-hunchback_of_notre_dame,The Hunchback of Notre Dame,71.0,Disney,1996-06-21,1996
m/the-croods,The Croods,71.0,20th Century Fox,2013-03-22,2013
m/into_the_woods_2014,Into the Woods,71.0,Disney,2014-12-24,2014
m/mrs_doubtfire,Mrs. Doubtfire,71.0,20th Century Fox,1993-11-24,1993
m/cars_3,Cars 3,70.0,Disney,2017-06-16,2017
m/spirit_stallion_of_the_cimarron,Spirit - Stallion of the Cimarron,70.0,Dreamworks,2002-05-24,2002
m/ramona_and_beezus,Ramona and Beezus,70.0,20th Century Fox,2010-07-23,2010
m/cloudy_with_a_chance_of_meatballs_2_2013,Cloudy with a Chance of Meatballs 2,70.0,Sony,2013-09-27,2013
m/piglets_big_movie,Piglet's Big Movie,70.0,Disney,2003-03-21,2003
m/1153951-curious_george,Curious George,70.0,Universal,2006-02-10,2006
m/1001193-around_the_world_in_80_days,Around the World in 80 Days,69.0,United Artists,1956-10-17,1956
m/treasure_planet,Treasure Planet,69.0,Buena Vista,2002-11-27,2002
m/pokemon_detective_pikachu,Pokémon Detective Pikachu,68.0,Warner Bros.,2019-05-10,2019
m/spongebob_squarepants_movie,The SpongeBob SquarePants Movie,68.0,Paramount,2004-11-19,2004
m/chronicles_of_narnia_prince_caspian,The Chronicles of Narnia: Prince Caspian,67.0,Disney,2008-05-16,2008
m/meet_the_robinsons,Meet the Robinsons,67.0,Buena Vista,2007-03-30,2007
m/stuart_little,Stuart Little,67.0,Columbia Pictures,1999-12-17,1999
m/dolphin_tale_2,Dolphin Tale 2,66.0,Warner Bros.,2014-09-12,2014
m/the_house_with_a_clock_in_its_walls,The House with a Clock in Its Walls,66.0,Universal,2018-09-21,2018
m/turbo_2013,Turbo,66.0,Dreamworks,2013-07-17,2013
