,index,tconst,Movie title,Year,Genres,IMDb rating,Nb votes,Rotten Tomatoes rating,Genre
6143,2524,tt0094862,Child's Play,1988,"Horror,Thriller",6.6,104160.0,7.1,Horror
6144,2524,tt0094862,Child's Play,1988,"Horror,Thriller",6.6,104160.0,7.1,Thriller
6145,2525,tt0094884,Clean and Sober,1988,Drama,6.7,6568.0,6.2,Drama
6146,2526,tt0094888,Cobra Verde,1987,"Adventure,Drama",6.9,7925.0,8.2,Adventure
6147,2526,tt0094888,Cobra Verde,1987,"Adventure,Drama",6.9,7925.0,8.2,Drama
6148,2527,tt0094889,Cocktail,1988,"Comedy,Drama,Romance",5.9,86446.0,0.7,Comedy
6149,2527,tt0094889,Cocktail,1988,"Comedy,Drama,Romance",5.9,86446.0,0.7,Drama
6150,2527,tt0094889,Cocktail,1988,"Comedy,Drama,Romance",5.9,86446.0,0.7,Romance
6151,2528,tt0094890,Cocoon: The Return,1988,"Adventure,Comedy,Mystery",5.4,16616.0,,Adventure
6152,2528,tt0094890,Cocoon: The Return,1988,"Adventure,Comedy,Mystery",5.4,16616.0,,Comedy
6153,2528,tt0094890,Cocoon: The Return,1988,"Adventure,Comedy,Mystery",5.4,16616.0,,Mystery
6154,2529,tt0094894,Colors,1988,"Action,Crime,Drama",6.7,27232.0,8.2,Action
6155,2529,tt0094894,Colors,1988,"Action,Crime,Drama",6.7,27232.0,8.2,Crime
6156,2529,tt0094894,Colors,1988,"Action,Crime,Drama",6.7,27232.0,8.2,Drama
6157,2530,tt0094898,Coming to America,1988,"Comedy,Romance",7.1,208426.0,6.5,Comedy
6158,2530,tt0094898,Coming to America,1988,"Comedy,Romance",7.1,208426.0,6.5,Romance
6159,2531,tt0094919,Critters 2: The Main Course,1988,"Comedy,Horror,Sci-Fi",5.5,15540.0,,Comedy
6160,2531,tt0094919,Critters 2: The Main Course,1988,"Comedy,Horror,Sci-Fi",5.5,15540.0,,Horror
6161,2531,tt0094919,Critters 2: The Main Course,1988,"Comedy,Horror,Sci-Fi",5.5,15540.0,,Sci-Fi
6162,2532,tt0094924,A Cry in the Dark,1988,"Biography,Drama",6.9,10570.0,,Biography
6163,2532,tt0094924,A Cry in the Dark,1988,"Biography,Drama",6.9,10570.0,,Drama
6164,2533,tt0094933,D.O.A.,1988,"Mystery,Thriller",6.1,10436.0,,Mystery
6165,2533,tt0094933,D.O.A.,1988,"Mystery,Thriller",6.1,10436.0,,Thriller
6166,2534,tt0094947,Dangerous Liaisons,1988,"Drama,Romance",7.6,70790.0,9.3,Drama
6167,2534,tt0094947,Dangerous Liaisons,1988,"Drama,Romance",7.6,70790.0,9.3,Romance
6168,2535,tt0094961,Dead Heat,1988,"Action,Comedy,Horror",6.0,8340.0,1.1,Action
6169,2535,tt0094961,Dead Heat,1988,"Action,Comedy,Horror",6.0,8340.0,1.1,Comedy
6170,2535,tt0094961,Dead Heat,1988,"Action,Comedy,Horror",6.0,8340.0,1.1,Horror
6171,2536,tt0094963,The Dead Pool,1988,"Action,Crime,Mystery",6.2,46298.0,5.5,Action
6172,2536,tt0094963,The Dead Pool,1988,"Action,Crime,Mystery",6.2,46298.0,5.5,Crime
6173,2536,tt0094963,The Dead Pool,1988,"Action,Crime,Mystery",6.2,46298.0,5.5,Mystery
6174,2537,tt0094964,Dead Ringers,1988,"Drama,Horror,Thriller",7.2,48001.0,8.3,Drama
6175,2537,tt0094964,Dead Ringers,1988,"Drama,Horror,Thriller",7.2,48001.0,8.3,Horror
6176,2537,tt0094964,Dead Ringers,1988,"Drama,Horror,Thriller",7.2,48001.0,8.3,Thriller
6177,2538,tt0095016,Die Hard,1988,"Action,Thriller",8.2,872127.0,9.4,Action
6178,2538,tt0095016,Die Hard,1988,"Action,Thriller",8.2,872127.0,9.4,Thriller
6179,2539,tt0095031,Dirty Rotten Scoundrels,1988,"Comedy,Crime",7.4,72269.0,8.9,Comedy
6180,2539,tt0095031,Dirty Rotten Scoundrels,1988,"Comedy,Crime",7.4,72269.0,8.9,Crime
6181,2540,tt0095082,Eight Men Out,1988,"Drama,History,Sport",7.2,20704.0,8.6,Drama
6182,2540,tt0095082,Eight Men Out,1988,"Drama,History,Sport",7.2,20704.0,8.6,History
6183,2540,tt0095082,Eight Men Out,1988,"Drama,History,Sport",7.2,20704.0,8.6,Sport
6184,2541,tt0095088,Elvira: Mistress of the Dark,1988,"Comedy,Horror",6.5,18617.0,,Comedy
6185,2541,tt0095088,Elvira: Mistress of the Dark,1988,"Comedy,Horror",6.5,18617.0,,Horror
6186,2542,tt0095107,Ernest Saves Christmas,1988,"Comedy,Family,Fantasy",5.6,11551.0,,Comedy
6187,2542,tt0095107,Ernest Saves Christmas,1988,"Comedy,Family,Fantasy",5.6,11551.0,,Family
6188,2542,tt0095107,Ernest Saves Christmas,1988,"Comedy,Family,Fantasy",5.6,11551.0,,Fantasy
6189,2543,tt0095159,A Fish Called Wanda,1988,"Comedy,Crime",7.5,143159.0,9.5,Comedy
6190,2543,tt0095159,A Fish Called Wanda,1988,"Comedy,Crime",7.5,143159.0,9.5,Crime
6191,2544,tt0095174,Frantic,1988,"Crime,Drama,Mystery",6.9,54157.0,7.6,Crime
6192,2544,tt0095174,Frantic,1988,"Crime,Drama,Mystery",6.9,54157.0,7.6,Drama
6193,2544,tt0095174,Frantic,1988,"Crime,Drama,Mystery",6.9,54157.0,7.6,Mystery
6194,2545,tt0095179,Friday the 13th Part VII: The New Blood,1988,"Horror,Thriller",5.2,38054.0,,Horror
6195,2545,tt0095179,Friday the 13th Part VII: The New Blood,1988,"Horror,Thriller",5.2,38054.0,,Thriller
6196,2546,tt0095188,Funny Farm,1988,Comedy,6.2,23414.0,6.5,Comedy
6197,2547,tt0095243,Gorillas in the Mist,1988,"Biography,Drama",7.0,27084.0,,Biography
6198,2547,tt0095243,Gorillas in the Mist,1988,"Biography,Drama",7.0,27084.0,,Drama
6199,2548,tt0095250,The Big Blue,1988,"Adventure,Drama,Sport",7.5,52041.0,,Adventure
6200,2548,tt0095250,The Big Blue,1988,"Adventure,Drama,Sport",7.5,52041.0,,Drama
6201,2548,tt0095250,The Big Blue,1988,"Adventure,Drama,Sport",7.5,52041.0,,Sport
6202,2549,tt0095253,The Great Outdoors,1988,Comedy,6.6,47549.0,4.0,Comedy
6203,2550,tt0095270,Hairspray,1988,"Comedy,Drama,Family",7.0,21726.0,9.8,Comedy
6204,2550,tt0095270,Hairspray,1988,"Comedy,Drama,Family",7.0,21726.0,9.8,Drama
6205,2550,tt0095270,Hairspray,1988,"Comedy,Drama,Family",7.0,21726.0,9.8,Family
6206,2551,tt0095271,Halloween 4: The Return of Michael Myers,1988,"Horror,Thriller",5.8,53892.0,,Horror
6207,2551,tt0095271,Halloween 4: The Return of Michael Myers,1988,"Horror,Thriller",5.8,53892.0,,Thriller
6208,2552,tt0095294,Hellbound: Hellraiser II,1988,"Horror,Thriller",6.4,51096.0,5.0,Horror
6209,2552,tt0095294,Hellbound: Hellraiser II,1988,"Horror,Thriller",6.4,51096.0,5.0,Thriller
6210,2553,tt0095304,High Spirits,1988,"Comedy,Fantasy",5.7,9787.0,2.7,Comedy
6211,2553,tt0095304,High Spirits,1988,"Comedy,Fantasy",5.7,9787.0,2.7,Fantasy
6212,2554,tt0095327,Grave of the Fireflies,1988,"Animation,Drama,War",8.5,275813.0,,Animation
6213,2554,tt0095327,Grave of the Fireflies,1988,"Animation,Drama,War",8.5,275813.0,,Drama
6214,2554,tt0095327,Grave of the Fireflies,1988,"Animation,Drama,War",8.5,275813.0,,War
