rotten_tomatoes_link,Movie Title,Year,Studio,IMDb rating,Rotten Tomatoes rating
m/1196077-cloudy_with_a_chance_of_meatballs,Cloudy With a Chance of Meatballs,2009,Sony,,86.0
m/mulan,Mulan,1998,Buena Vista,7.6,86.0
m/1209933-puss_in_boots,Puss in Boots,2011,Paramount,6.6,86.0
m/1196003-princess_and_the_frog,The Princess and the Frog,2009,Disney,7.1,85.0
m/dora_and_the_lost_city_of_gold,Dora and the Lost City of Gold,2019,Paramount,6.1,85.0
m/emperors_new_groove,The Emperor's New Groove,2000,Buena Vista,,85.0
m/bridge_to_terabithia,Bridge to Terabithia,2007,Buena Vista,7.2,85.0
m/corpse_bride,Tim Burton's Corpse Bride,2005,Warner Bros.,,84.0
m/cinderella_2013,Cinderella,2015,Disney,6.9,84.0
m/mad_hot_ballroom,Mad Hot Ballroom,2005,Paramount,,84.0
m/hercules,Hercules,1997,Buena Vista,7.3,84.0
m/harry_potter_and_the_half_blood_prince,Harry Potter and the Half-Blood Prince,2009,Warner Bros.,7.6,84.0
m/charlie_and_the_chocolate_factory,Charlie and the Chocolate Factory,2005,Warner Bros.,6.7,83.0
m/sound_of_music,The Sound of Music,1965,20th Century Fox,8.1,83.0
m/fiddler_on_the_roof,Fiddler on the Roof,1971,United Artists,8.0,83.0
m/harry_potter_and_the_chamber_of_secrets,Harry Potter and the Chamber of Secrets,2002,Warner Bros.,7.4,82.0
m/mr_peabody_and_sherman,Mr. Peabody & Sherman,2014,20th Century Fox,6.8,81.0
m/island_of_lemurs_madagascar,Island Of Lemurs: Madagascar,2014,Warner Bros.,,81.0
m/fantasia_2000,Fantasia 2000,2000,Buena Vista,,81.0
m/harry_potter_and_the_sorcerers_stone,Harry Potter and the Sorcerer's Stone,2001,Warner Bros.,7.6,81.0
m/1214097-despicable_me,Despicable Me,2010,Universal,7.6,81.0
m/1016213-peter_pan,Peter Pan,1953,Disney,7.3,81.0
m/dolphin_tale,Dolphin Tale,2011,Warner Bros.,6.8,81.0
m/kung_fu_panda_the_kaboom_of_doom,Kung Fu Panda 2,2011,Paramount,7.2,81.0
m/stuart_little_2,Stuart Little 2,2002,Columbia Pictures,5.5,81.0
m/mcfarland_usa,McFarland USA,2015,Disney,,81.0
m/the_spongebob_movie_sponge_out_of_water,The SpongeBob Movie: Sponge Out of Water,2015,Paramount,6.0,81.0
m/the_neverending_story_1984,The Neverending Story,1984,Warner Bros.,,80.0
m/wild_thornberrys_movie,The Wild Thornberrys Movie,2002,Paramount,5.6,80.0
m/muppets_most_wanted,Muppets Most Wanted,2014,Disney,6.4,80.0
m/monsters_university,Monsters University,2013,Disney,7.2,80.0
m/poohs_heffalump_movie,Pooh's Heffalump Movie,2005,Buena Vista,6.4,80.0
m/prince_of_egypt,The Prince of Egypt,1998,Dreamworks,7.1,80.0
m/1057637-jungle_book,Rudyard Kipling's The Jungle Book,1994,Buena Vista,,80.0
m/dark_crystal,The Dark Crystal,1982,Sony,,79.0
m/horton-hears-a-who2008,Dr. Seuss' Horton Hears a Who!,2008,20th Century Fox,,79.0
m/surfs_up,Surf's Up,2007,Sony,6.7,79.0
m/madagascar_3_europes_most_wanted_2012,Madagascar 3: Europe's Most Wanted,2012,Paramount,6.8,78.0
m/charlottes_web,Charlotte's Web,2006,Paramount,6.3,78.0
m/goosebumps_2015,Goosebumps,2015,Sony,6.3,78.0
m/brave_2012,Brave,2012,Disney,7.1,78.0
m/holes,Holes,2003,Buena Vista,7.0,78.0
m/two_brothers,Two Brothers,2004,Universal,7.0,78.0
m/harry_potter_and_the_order_of_the_phoenix,Harry Potter and the Order of the Phoenix,2007,Warner Bros.,7.5,78.0
m/rudy,Rudy,1993,Sony,7.5,78.0
m/ice_age,Ice Age,2002,20th Century Fox,7.5,77.0
m/adventures_of_elmo_in_grouchland,The Adventures of Elmo in Grouchland,1999,Columbia Pictures,,77.0
m/frozen_ii,Frozen II,2019,Disney,6.8,77.0
m/1023543-white_christmas,White Christmas,1954,Paramount,7.5,77.0
m/harry_potter_and_the_deathly_hallows_part_1,Harry Potter and the Deathly Hallows - Part 1,2010,Warner Bros.,7.7,77.0
m/1128577-peter_pan,Peter Pan,2003,Universal,6.8,77.0
m/the_good_dinosaur,The Good Dinosaur,2015,Disney,6.7,76.0
m/spies_in_disguise,Spies in Disguise,2019,20th Century Fox,6.8,76.0
m/happy_feet,Happy Feet,2006,Warner Bros.,6.4,76.0
m/trolls,Trolls,2016,Dreamworks,6.4,76.0
m/jumanji_welcome_to_the_jungle,Jumanji: Welcome to the Jungle,2017,Columbia Pictures,6.9,76.0
m/chronicles_of_narnia_lion_witch_wardrobe,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",2005,Buena Vista,6.9,76.0
