,nconst,category,Staff name,IMDb rating,Nb movies,Ranking
194,nm0001021,actress,Veronica Cartwright,8.5,1,0.1
66,nm0000234,actress,Charlize Theron,8.1,1,0.1
74,nm0000260,actress,Joan Allen,8.0,1,0.1
75,nm0000261,actress,Karen Allen,8.4,1,0.1
59,nm0000213,actress,Winona Ryder,8.0,1,0.1
82,nm0000301,actress,Thora Birch,8.4,1,0.1
90,nm0000349,actress,Joan Cusack,8.3,1,0.1
91,nm0000350,actress,Beverly D'Angelo,8.5,1,0.1
101,nm0000398,actress,Sally Field,8.8,1,0.1
306,nm0005476,actress,Hilary Swank,8.1,1,0.1
83,nm0000307,actress,Helena Bonham Carter,8.0,1,0.1
10,nm0000113,actress,Sandra Bullock,7.7,1,0.1
19,nm0000130,actress,Jamie Lee Curtis,7.9,1,0.1
23,nm0000139,actress,Cameron Diaz,7.9,1,0.1
55,nm0000201,actress,Michelle Pfeiffer,8.3,1,0.1
33,nm0000155,actress,Whoopi Goldberg,8.5,1,0.1
43,nm0000178,actress,Diane Lane,7.1,1,0.1
48,nm0000194,actress,Julianne Moore,8.1,1,0.1
159,nm0000656,actress,Madeleine Stowe,8.0,1,0.1
160,nm0000670,actress,Lea Thompson,8.5,1,0.1
310,nm0007102,actress,Tabu,7.9,1,0.1
305,nm0005466,actress,Julia Stiles,8.0,1,0.1
624,nm3115704,actress,Ahney Her,8.1,1,0.1
228,nm0001512,actress,Mary Elizabeth Mastrantonio,8.3,1,0.1
257,nm0001749,actress,Maggie Smith,7.6,1,0.1
201,nm0001122,actress,Ellen DeGeneres,8.2,1,0.1
205,nm0001167,actress,Shelley Duvall,8.4,1,0.1
209,nm0001221,actress,Louise Fletcher,8.7,1,0.1
213,nm0001315,actress,Marcia Gay Harden,8.1,1,0.1
237,nm0001567,actress,Connie Nielsen,8.5,1,0.1
215,nm0001343,actress,Carrie Henn,8.4,1,0.1
219,nm0001416,actress,Catherine Keener,8.1,1,0.1
221,nm0001463,actress,Janet Leigh,8.5,1,0.1
224,nm0001473,actress,Laura Linney,8.2,1,0.1
229,nm0001521,actress,Mary McDonnell,8.0,1,0.1
291,nm0005109,actress,Mila Kunis,8.0,1,0.1
216,nm0001372,actress,Bonnie Hunt,8.6,1,0.1
282,nm0004695,actress,Jessica Alba,8.0,1,0.1
331,nm0103797,actress,Alice Braga,7.2,1,0.1
340,nm0153738,actress,Daveigh Chase,8.6,1,0.1
345,nm0175814,actress,Frances Conroy,8.4,1,0.1
349,nm0186677,actress,Lorella Cravotta,8.3,1,0.1
353,nm0205063,actress,Lucy Davis,7.4,1,0.1
359,nm0233145,actress,Alison Doody,8.2,1,0.1
365,nm0257969,actress,Mireille Enos,7.0,1,0.1
370,nm0272581,actress,Rebecca Ferguson,8.0,1,0.1
367,nm0268199,actor,Colin Farrell,7.9,1,0.1
168,nm0000707,actress,Sean Young,8.1,1,0.1
177,nm0000870,actress,Kathy Bates,7.9,1,0.1
474,nm0724757,actress,Salli Richardson-Whitfield,7.2,1,0.1
567,nm1289434,actress,Emily Blunt,7.9,1,0.1
568,nm1297015,actress,Emma Stone,6.9,1,0.1
571,nm1325419,actress,Kristen Wiig,8.0,1,0.1
576,nm1410076,actress,Nathalie Boltt,7.9,1,0.1
579,nm1431940,actress,Evangeline Lilly,7.3,1,0.1
558,nm1200692,actress,Eva Green,8.0,1,0.1
594,nm1869101,actress,Ana de Armas,7.9,1,0.1
593,nm1856097,actress,Cho Yeo-jeong,8.5,1,0.1
374,nm0288976,actress,Emilia Fox,8.5,1,0.1
591,nm1775091,actress,Danai Gurira,7.3,1,0.1
546,nm1072555,actress,Morena Baccarin,8.0,1,0.1
181,nm0000889,actress,Bonnie Bedelia,8.2,1,0.1
548,nm1083271,actress,Megan Fox,7.0,1,0.1
550,nm1109153,actress,Audrey Fleurot,8.5,1,0.1
587,nm1659547,actress,Carey Mulligan,7.8,1,0.1
477,nm0735442,actress,Michelle Rodriguez,7.8,1,0.1
612,nm2552034,actress,Melissa Benoist,8.5,1,0.1
401,nm0365140,actress,Naomie Harris,7.8,1,0.1
402,nm0372176,actress,Lena Headey,7.6,1,0.1
403,nm0383708,actress,Rumi Hiiragi,8.6,1,0.1
