tconst,Year,IMDb rating,Movie title,rotten_tomatoes_link,movie_title,tomatometer_status,Rotten Tomatoes rating
tt0028333,1936,7.5,Swing Time,m/1020729-swing_time,Swing Time,Fresh,97.0
tt0028346,1936,3.7,Reefer Madness,,,,
tt0028358,1936,6.6,Things to Come,m/things_to_come,Things to Come,Fresh,93.0
tt0028597,1937,7.7,The Awful Truth,m/awful_truth,The Awful Truth,Fresh,93.0
tt0028683,1936,7.3,Camille,m/1003441-camille,Camille,Fresh,93.0
tt0028691,1937,8.0,Captains Courageous,m/1003531-captains_courageous,Captains Courageous,Fresh,94.0
tt0028772,1937,7.5,A Day at the Races,m/day_at_the_races,A Day at the Races,Fresh,94.0
tt0028950,1937,8.1,The Grand Illusion,,,,
tt0029146,1937,7.2,The Life of Emile Zola,m/life_of_emile_zola,The Life of Emile Zola,Fresh,82.0
tt0029162,1937,7.6,Lost Horizon,m/lost_horizon,Lost Horizon,Fresh,93.0
tt0029192,1937,8.2,Make Way for Tomorrow,,,,
tt0029284,1940,7.3,My Favorite Wife,m/my_favorite_wife,My Favorite Wife,Fresh,85.0
tt0029322,1937,6.9,Nothing Sacred,,,,
tt0029453,1937,7.7,Pépé le Moko,m/pepe_le_moko_1937,Pépé le Moko,Fresh,100.0
tt0029546,1937,7.5,Shall We Dance,m/1018711-shall_we_dance,Shall We Dance,Fresh,89.0
tt0029583,1937,7.6,Snow White and the Seven Dwarfs,m/1048445-snow_white_and_the_seven_dwarfs,Snow White and the Seven Dwarfs,Certified-Fresh,98.0
tt0029583,1937,7.6,Snow White and the Seven Dwarfs,m/1048445-snow_white_and_the_seven_dwarfs,Snow White and the Seven Dwarfs,Certified-Fresh,98.0
tt0029583,1937,7.6,Snow White and the Seven Dwarfs,m/1048445-snow_white_and_the_seven_dwarfs,Snow White and the Seven Dwarfs,Certified-Fresh,98.0
tt0029583,1937,7.6,Snow White and the Seven Dwarfs,m/1048445-snow_white_and_the_seven_dwarfs,Snow White and the Seven Dwarfs,Certified-Fresh,98.0
tt0029583,1937,7.6,Snow White and the Seven Dwarfs,m/1048445-snow_white_and_the_seven_dwarfs,Snow White and the Seven Dwarfs,Certified-Fresh,98.0
tt0029583,1937,7.6,Snow White and the Seven Dwarfs,m/1048445-snow_white_and_the_seven_dwarfs,Snow White and the Seven Dwarfs,Certified-Fresh,98.0
tt0029604,1937,7.7,Stage Door,m/stage_door,Stage Door,Fresh,96.0
tt0029606,1937,7.3,A Star Is Born,,,,
tt0029606,1937,7.3,A Star Is Born,,,,
tt0029606,1937,7.3,A Star Is Born,,,,
tt0029682,1937,7.2,Topper,,,,
tt0029747,1937,7.6,Way Out West,,,,
tt0029811,1937,6.8,Young and Innocent,m/young_and_innocent,Young and Innocent,Fresh,100.0
tt0029843,1938,7.9,The Adventures of Robin Hood,m/1000355-adventures_of_robin_hood,The Adventures of Robin Hood,Certified-Fresh,100.0
